Category,Score
Authority and Responsibility,0.2
Data Management System,0.6
Language,1.4
Free of Charge,2
Number of Datasets,0
Number of applications,-1.6
Search engine,0.4
API,-0.4
User Account,-0.2
Thematic Categories,1
Tags,0.6
Forum,-1
Request form,1
Help (usability),-1.2
FAQ,-1.8
Social Media,-2
Title + Description,0.6
Publisher,-0.6
Release Date,1.6
License,-1
Geographic Coverage,2
Dataset URL,1.6
Dataset (file) size,0.2
Number of views (visits),-1.6
Number of downloads,-1.6
Machine readable formats,0.8
Visualizations,-0.4
User rating and discussion message,-2